가해자차량용도대분류,가해자차량용도중분류,가해자차량용도,시간대,사고건수,사망자수,중상자수,경상자수,부상신고자수
사업용,노선버스,시내버스,00시-02시,34,0,20,21,4
사업용,노선버스,시내버스,02시-04시,9,0,2,7,0
사업용,노선버스,시내버스,04시-06시,40,1,20,37,0
사업용,노선버스,시내버스,06시-08시,299,3,89,313,28
사업용,노선버스,시내버스,08시-10시,660,4,202,675,51
사업용,노선버스,시내버스,10시-12시,589,5,216,563,71
사업용,노선버스,시내버스,12시-14시,631,7,195,624,59
사업용,노선버스,시내버스,14시-16시,666,4,230,618,63
사업용,노선버스,시내버스,16시-18시,775,5,247,692,89
사업용,노선버스,시내버스,18시-20시,650,3,175,631,69
사업용,노선버스,시내버스,20시-22시,377,5,116,309,39
사업용,노선버스,시내버스,22시-24시,226,4,74,198,35
사업용,노선버스,시외버스,00시-02시,10,0,2,18,1
사업용,노선버스,시외버스,02시-04시,1,1,0,0,0
사업용,노선버스,시외버스,04시-06시,4,0,3,10,1
사업용,노선버스,시외버스,06시-08시,37,1,13,25,2
사업용,노선버스,시외버스,08시-10시,63,0,17,80,2
사업용,노선버스,시외버스,10시-12시,71,1,28,133,22
사업용,노선버스,시외버스,12시-14시,73,1,19,95,6
사업용,노선버스,시외버스,14시-16시,71,0,24,85,19
사업용,노선버스,시외버스,16시-18시,77,1,24,113,10
사업용,노선버스,시외버스,18시-20시,94,0,31,184,26
사업용,노선버스,시외버스,20시-22시,59,0,16,76,10
사업용,노선버스,시외버스,22시-24시,31,1,8,25,2
사업용,노선버스,고속버스,02시-04시,2,3,12,0,0
사업용,노선버스,고속버스,04시-06시,2,0,1,1,0
사업용,노선버스,고속버스,06시-08시,10,0,2,14,0
사업용,노선버스,고속버스,08시-10시,32,5,17,59,5
사업용,노선버스,고속버스,10시-12시,25,1,12,75,33
사업용,노선버스,고속버스,12시-14시,27,0,8,47,0
사업용,노선버스,고속버스,14시-16시,21,1,15,43,4
사업용,노선버스,고속버스,16시-18시,22,0,8,46,1
사업용,노선버스,고속버스,18시-20시,30,0,7,41,2
사업용,노선버스,고속버스,20시-22시,15,0,6,34,3
사업용,노선버스,고속버스,22시-24시,4,0,0,8,8
사업용,노선버스,마을버스,00시-02시,2,0,0,2,0
사업용,노선버스,마을버스,04시-06시,3,0,2,2,0
사업용,노선버스,마을버스,06시-08시,48,2,16,44,7
사업용,노선버스,마을버스,08시-10시,111,0,34,101,10
사업용,노선버스,마을버스,10시-12시,115,2,40,102,6
사업용,노선버스,마을버스,12시-14시,109,0,34,108,14
사업용,노선버스,마을버스,14시-16시,133,2,43,135,11
사업용,노선버스,마을버스,16시-18시,131,1,40,109,12
사업용,노선버스,마을버스,18시-20시,120,1,34,137,9
사업용,노선버스,마을버스,20시-22시,76,0,21,70,4
사업용,노선버스,마을버스,22시-24시,59,3,7,64,5
사업용,전세버스,전세버스,00시-02시,12,1,8,13,10
사업용,전세버스,전세버스,02시-04시,6,2,1,13,0
사업용,전세버스,전세버스,04시-06시,43,4,33,42,1
사업용,전세버스,전세버스,06시-08시,197,3,97,434,41
사업용,전세버스,전세버스,08시-10시,200,0,59,351,63
사업용,전세버스,전세버스,10시-12시,82,0,19,125,10
사업용,전세버스,전세버스,12시-14시,97,0,28,145,47
사업용,전세버스,전세버스,14시-16시,124,0,23,146,14
사업용,전세버스,전세버스,16시-18시,189,2,41,245,39
사업용,전세버스,전세버스,18시-20시,252,6,73,408,35
사업용,전세버스,전세버스,20시-22시,116,5,35,160,8
사업용,전세버스,전세버스,22시-24시,43,1,23,56,4
사업용,특수여객(장의),특수여객(장의),06시-08시,2,0,0,2,0
사업용,특수여객(장의),특수여객(장의),08시-10시,2,0,0,2,0
사업용,특수여객(장의),특수여객(장의),10시-12시,2,0,0,3,0
사업용,특수여객(장의),특수여객(장의),12시-14시,2,0,0,1,3
사업용,특수여객(장의),특수여객(장의),14시-16시,3,0,0,3,0
사업용,특수여객(장의),특수여객(장의),16시-18시,1,0,0,1,0
사업용,특수여객(장의),특수여객(장의),18시-20시,3,0,0,3,0
사업용,택시,법인택시,00시-02시,686,9,168,756,72
사업용,택시,법인택시,02시-04시,428,6,144,438,39
사업용,택시,법인택시,04시-06시,282,3,77,300,26
사업용,택시,법인택시,06시-08시,256,3,85,249,24
사업용,택시,법인택시,08시-10시,426,0,87,480,27
사업용,택시,법인택시,10시-12시,439,0,91,529,24
사업용,택시,법인택시,12시-14시,472,5,113,519,38
사업용,택시,법인택시,14시-16시,494,1,84,602,55
사업용,택시,법인택시,16시-18시,546,1,81,668,51
사업용,택시,법인택시,18시-20시,745,4,157,851,45
사업용,택시,법인택시,20시-22시,808,4,192,889,59
사업용,택시,법인택시,22시-24시,825,2,214,922,69
사업용,택시,개인택시,00시-02시,481,8,137,533,47
사업용,택시,개인택시,02시-04시,225,6,77,200,14
사업용,택시,개인택시,04시-06시,163,1,80,150,14
사업용,택시,개인택시,06시-08시,308,4,99,292,33
사업용,택시,개인택시,08시-10시,621,4,175,641,47
사업용,택시,개인택시,10시-12시,577,5,148,610,58
사업용,택시,개인택시,12시-14시,583,2,176,632,29
사업용,택시,개인택시,14시-16시,586,1,140,643,57
사업용,택시,개인택시,16시-18시,645,3,170,675,78
사업용,택시,개인택시,18시-20시,748,7,188,801,58
사업용,택시,개인택시,20시-22시,661,5,178,687,48
사업용,택시,개인택시,22시-24시,606,6,177,601,42
사업용,화물차,화물차,00시-02시,131,9,51,122,10
사업용,화물차,화물차,02시-04시,125,8,50,119,9
사업용,화물차,화물차,04시-06시,258,7,99,248,20
사업용,화물차,화물차,06시-08시,549,15,142,555,39
사업용,화물차,화물차,08시-10시,923,15,236,1041,68
사업용,화물차,화물차,10시-12시,917,22,252,1031,86
사업용,화물차,화물차,12시-14시,790,11,243,992,71
사업용,화물차,화물차,14시-16시,819,21,239,907,79
사업용,화물차,화물차,16시-18시,749,15,199,844,61
사업용,화물차,화물차,18시-20시,514,10,142,544,44
사업용,화물차,화물차,20시-22시,278,3,55,303,23
사업용,화물차,화물차,22시-24시,180,10,58,176,23
사업용,렌터카,렌터카,00시-02시,484,12,113,584,38
사업용,렌터카,렌터카,02시-04시,261,2,73,315,27
사업용,렌터카,렌터카,04시-06시,235,6,62,272,20
사업용,렌터카,렌터카,06시-08시,431,3,109,446,28
사업용,렌터카,렌터카,08시-10시,867,6,186,978,75
사업용,렌터카,렌터카,10시-12시,873,5,216,1026,68
사업용,렌터카,렌터카,12시-14시,974,2,212,1187,90
사업용,렌터카,렌터카,14시-16시,1078,6,250,1363,123
사업용,렌터카,렌터카,16시-18시,1273,5,278,1556,126
사업용,렌터카,렌터카,18시-20시,1357,4,343,1520,140
사업용,렌터카,렌터카,20시-22시,940,7,233,1090,85
사업용,렌터카,렌터카,22시-24시,723,5,197,850,68
사업용,콘크리트믹서,콘크리트믹서,02시-04시,1,0,0,1,0
사업용,콘크리트믹서,콘크리트믹서,06시-08시,8,0,1,8,0
사업용,콘크리트믹서,콘크리트믹서,08시-10시,61,1,15,66,2
사업용,콘크리트믹서,콘크리트믹서,10시-12시,75,1,19,79,1
사업용,콘크리트믹서,콘크리트믹서,12시-14시,53,2,10,57,0
사업용,콘크리트믹서,콘크리트믹서,14시-16시,66,2,23,65,4
사업용,콘크리트믹서,콘크리트믹서,16시-18시,50,0,10,55,0
사업용,콘크리트믹서,콘크리트믹서,18시-20시,9,0,1,11,1
사업용,덤프트럭,덤프트럭,00시-02시,2,0,2,2,0
사업용,덤프트럭,덤프트럭,02시-04시,7,1,1,5,0
사업용,덤프트럭,덤프트럭,04시-06시,39,2,16,45,9
